Series,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"UIS: Percentage of population age 25+ whose highest level of education is lower secondary, female",UIS.EA.2.AG25T99.F,Global Partnership for Education,FTI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is lower secondary, female",UIS.EA.2.AG25T99.F,Lending category not classified,LNX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is lower secondary, female",UIS.EA.2.AG25T99.F,Mayotte,MYT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is lower secondary, female",UIS.EA.2.AG25T99.F,Netherlands Antilles,ANT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is lower secondary, female",UIS.EA.2.AG25T99.F,Tokelau,TKL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is lower secondary, female",UIS.EA.2.AG25T99.F,Arab World,ARB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is lower secondary, female",UIS.EA.2.AG25T99.F,Caribbean small states,CSS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is lower secondary, female",UIS.EA.2.AG25T99.F,Central Europe and the Baltics,CEB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is lower secondary, female",UIS.EA.2.AG25T99.F,Early-demographic dividend,EAR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"UIS: Percentage of population age 25+ whose highest level of education is lower secondary, female",UIS.EA.2.AG25T99.F,East Asia & Pacific,EAS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
